Frekvence [Hz],Dolni propust [V],Horni propust [V],Dolni propust 2 [V],Horni propust 2 [V], faz_posun Dolní propust, Faz_posun Horní propust, faz_posun Dolní propust 2, Faz_posun Horní propust 2
4.7,13.84,2.48,14,0.2,3.14,0,5.4,0
10,13.12,4.8,14,0.24,3.8,5.9,2.2,0
22,10.96,8.64,14,0.4,3.9,1,4.4,4.4
47,7.28,11.92,14,0.56,0,2,5.5,3
100,4.08,13.36,14,1.04,4.3,3,6,3.8
220,2,13.84,13.92,2.16,1.2,1.1,4.7,2.7
470,1.04,14,13.36,4.2,5.2,1.4,3.4,3
1000,0.24,14,11.44,7.6,4.9,4.5,2.7,1.8
2200,0.24,14,7.92,11,4,1.5,2.9,5.6
4700,0.24,14,4.4,12.72,1,4.2,3.2,5.2
10000,0.24,14,2.16,12.64,0,2,3,0.8
22000,0.24,14,1.12,13.36,0,4,1,5.4
47000,0.24,14,0.64,13.52,0,5.3,3,4.4