,time,"[50,00]","[50,00]"
0,0.0, 1,-2
1,0.2, 4,-6
2,0.4, 7,-9
3,0.6,10,-12
4,0.8,14,-16
5,1.0,17,-19
6,1.2,20,-21
7,1.4,22,-24
8,1.6,24,-26
9,1.8,26,-27
10,2.0,27,-29
11,2.2,28,-29
12,2.4,28,-29
13,2.6,28,-30
14,2.8,28,-29
15,3.0,27,-27
16,3.2,25,-26
17,3.4,23,-24
18,3.6,21,-22
19,3.8,19,-20
20,4.0,16,-17
21,4.2,13,-13
22,4.4,10,-10
23,4.6, 6,-7
24,4.8, 3,-3
25,5.0,-1, 0
26,5.2,-4, 4
27,5.4,-8, 8
28,5.6,-12,11
29,5.8,-14,14
30,6.0,-17,17
31,6.2,-20,20
32,6.4,-23,23
33,6.6,-24,24
34,6.8,-27,26
35,7.0,-27,27
36,7.2,-29,28
37,7.4,-29,28
38,7.6,-29,28
39,7.8,-28,27
40,8.0,-26,26
41,8.2,-26,25
42,8.4,-24,23
43,8.6,-22,21
44,8.8,-19,18
45,9.0,-17,15
46,9.2,-14,12
47,9.4,-10, 9
48,9.6,-7, 5
49,9.8,-3, 2
50,10.0, 1,-2
51,10.2, 4,-6
52,10.4, 8,-9
53,10.6,11,-12
54,10.8,14,-16
55,11.0,17,-19
56,11.2,19,-22
57,11.4,22,-24
58,11.6,24,-26
59,11.8,26,-27
60,12.0,27,-29
61,12.2,28,-29
62,12.4,28,-30
63,12.6,28,-30
64,12.8,27,-29
65,13.0,27,-28
66,13.2,25,-26
67,13.4,23,-24
68,13.6,21,-22
69,13.8,19,-19
70,14.0,16,-17
71,14.2,13,-13
72,14.4, 9,-10
73,14.6, 6,-7
74,14.8, 3,-3
75,15.0,-1, 1
76,15.2,-4, 4
77,15.4,-8, 8
78,15.6,-11,11
79,15.8,-15,14
80,16.0,-18,18
81,16.2,-20,20
82,16.4,-23,22
83,16.6,-25,24
84,16.8,-27,26
85,17.0,-28,27
86,17.2,-29,28
87,17.4,-28,28
88,17.6,-29,28
89,17.8,-28,28
90,18.0,-27,26
91,18.2,-26,25
92,18.4,-24,23
93,18.6,-22,21
94,18.8,-19,18
95,19.0,-17,15
96,19.2,-13,12
97,19.4,-10, 9
98,19.6,-7, 5
99,19.8,-3, 1
100,20.0, 0,-2
101,20.2, 4,-6
102,20.4, 7,-9
103,20.6,11,-13
104,20.8,14,-15
105,21.0,17,-19
106,21.2,20,-21
107,21.4,23,-24
108,21.6,24,-26
109,21.8,25,-27
110,22.0,27,-28
111,22.2,28,-29
112,22.4,28,-30
113,22.6,28,-29
114,22.8,27,-29
115,23.0,27,-28
116,23.2,25,-26
117,23.4,23,-25
118,23.6,21,-22
119,23.8,19,-19
120,24.0,16,-17
121,24.2,13,-14
122,24.4, 9,-10
123,24.6, 6,-6
124,24.8, 3,-3
125,25.0,-1, 0
126,25.2,-4, 4
127,25.4,-8, 8
128,25.6,-11,11
129,25.8,-14,14
130,26.0,-18,17
131,26.2,-20,20
132,26.4,-23,23
133,26.6,-25,24
134,26.8,-26,26
135,27.0,-28,27
136,27.2,-29,28
137,27.4,-29,28
138,27.6,-29,28
139,27.8,-28,27
140,28.0,-27,26
141,28.2,-26,25
142,28.4,-24,23
143,28.6,-22,21
144,28.8,-20,18
145,29.0,-17,15
146,29.2,-14,12
147,29.4,-10, 8
148,29.6,-7, 5
149,29.8,-3, 2
150,30.0, 0,-2
151,30.2, 4,-5
152,30.4, 7,-9
153,30.6,11,-13
154,30.8,14,-16
155,31.0,17,-18
156,31.2,20,-22
157,31.4,22,-24
158,31.6,24,-26
159,31.8,26,-27
160,32.0,27,-29
161,32.2,28,-30
162,32.4,28,-29
163,32.6,28,-30
164,32.8,28,-29
165,33.0,27,-28
166,33.2,25,-27
167,33.4,24,-24
168,33.6,21,-22
169,33.8,19,-19
170,34.0,16,-17
171,34.2,13,-13
172,34.4,10,-10
173,34.6, 6,-7
174,34.8, 2,-3
175,35.0,-1, 0
176,35.2,-4, 4
177,35.4,-8, 8
178,35.6,-11,11
179,35.8,-14,14
180,36.0,-18,18
181,36.2,-20,20
182,36.4,-23,23
183,36.6,-25,24
184,36.8,-27,26
185,37.0,-28,27
186,37.2,-29,28
187,37.4,-29,28
188,37.6,-29,28
189,37.8,-28,27
190,38.0,-27,26
191,38.2,-26,24
192,38.4,-24,23
193,38.6,-22,21
194,38.8,-19,18
195,39.0,-17,15
196,39.2,-14,12
197,39.4,-10, 9
198,39.6,-7, 5
199,39.8,-3, 2
200,40.0, 0,-2
201,40.2, 4,-5
202,40.4, 7,-9
203,40.6,11,-13
204,40.8,14,-15
205,41.0,17,-19
206,41.2,20,-21
207,41.4,22,-24
208,41.6,24,-26
209,41.8,26,-28
210,42.0,27,-28
211,42.2,28,-29
212,42.4,28,-30
213,42.6,28,-29
214,42.8,29,-29
215,43.0,27,-28
216,43.2,25,-26
217,43.4,23,-24
218,43.6,21,-22
219,43.8,19,-20
220,44.0,16,-17
221,44.2,13,-14
222,44.4,10,-10
223,44.6, 6,-6
224,44.8, 3,-3
225,45.0,-1, 0
226,45.2,-4, 4
227,45.4,-8, 7
228,45.6,-11,11
229,45.8,-15,14
230,46.0,-18,17
231,46.2,-20,20
232,46.4,-23,23
233,46.6,-25,24
234,46.8,-26,26
235,47.0,-28,27
236,47.2,-29,28
237,47.4,-29,28
238,47.6,-29,28
239,47.8,-28,27
240,48.0,-27,27
241,48.2,-26,25
242,48.4,-24,23
243,48.6,-22,21
244,48.8,-20,18
245,49.0,-16,15
246,49.2,-13,12
247,49.4,-10, 9
248,49.6,-7, 5
249,49.8,-4, 2
250,50.0, 0,-2
251,50.2, 4,-6
252,50.4, 7,-9
253,50.6,11,-13
254,50.8,14,-16
255,51.0,17,-19
256,51.2,20,-22
257,51.4,22,-24
258,51.6,24,-26
259,51.8,26,-27
260,52.0,27,-28
261,52.2,28,-29
262,52.4,28,-29
263,52.6,28,-29
264,52.8,27,-29
265,53.0,27,-28
266,53.2,25,-26
267,53.4,23,-24
268,53.6,21,-22
269,53.8,19,-19
270,54.0,16,-17
271,54.2,13,-13
272,54.4,10,-10
273,54.6, 6,-7
274,54.8, 2,-3
275,55.0,-1, 1
276,55.2,-5, 4
277,55.4,-7, 7
278,55.6,-11,11
279,55.8,-15,14
280,56.0,-17,17
281,56.2,-20,20
282,56.4,-23,23
283,56.6,-25,24
284,56.8,-26,26
285,57.0,-28,27
286,57.2,-29,28
287,57.4,-29,28
288,57.6,-29,28
289,57.8,-28,27
290,58.0,-27,26
291,58.2,-26,25
292,58.4,-24,23
293,58.6,-22,21
294,58.8,-19,18
295,59.0,-17,15
296,59.2,-14,12
297,59.4,-10, 9
298,59.6,-7, 5
299,59.8,-3, 1
300,60.0, 0,-2
301,60.2, 4,-5
302,60.4, 7,-9
303,60.6,11,-13
304,60.8,14,-15
305,61.0,17,-19
306,61.2,20,-21
307,61.4,22,-24
308,61.6,24,-26
309,61.8,25,-27
310,62.0,27,-28
311,62.2,28,-29
312,62.4,28,-30
313,62.6,29,-30
314,62.8,28,-29
315,63.0,27,-28
316,63.2,25,-26
317,63.4,24,-25
318,63.6,21,-22
319,63.8,19,-20
320,64.0,16,-16
321,64.2,13,-14
322,64.4,10,-10
323,64.6, 6,-6
324,64.8, 3,-3
325,65.0,-1, 0
326,65.2,-5, 4
327,65.4,-8, 8
328,65.6,-11,11
329,65.8,-14,14
330,66.0,-17,17
331,66.2,-20,20
332,66.4,-23,22
333,66.6,-24,24
334,66.8,-27,26
335,67.0,-28,27
336,67.2,-29,28
337,67.4,-28,28
338,67.6,-29,28
339,67.8,-29,27
340,68.0,-27,26
341,68.2,-26,25
342,68.4,-24,23
343,68.6,-21,21
344,68.8,-20,18
345,69.0,-17,15
346,69.2,-14,12
347,69.4,-10, 9
348,69.6,-7, 5
349,69.8,-3, 2
350,70.0, 0,-2
351,70.2, 4,-6
352,70.4, 7,-9
353,70.6,11,-13
354,70.8,14,-16
355,71.0,17,-18
356,71.2,19,-21
357,71.4,22,-24
358,71.6,25,-26
359,71.8,26,-28
360,72.0,27,-29
361,72.2,28,-30
362,72.4,28,-30
363,72.6,28,-29
364,72.8,28,-29
365,73.0,27,-28
366,73.2,25,-27
367,73.4,23,-24
368,73.6,21,-22
369,73.8,19,-19
370,74.0,16,-17
371,74.2,13,-13
372,74.4, 9,-10
373,74.6, 6,-7
374,74.8, 3,-3
375,75.0, 0, 0
376,75.2,-4, 4
377,75.4,-8, 8
378,75.6,-11,11
379,75.8,-15,14
380,76.0,-18,17
381,76.2,-20,20
382,76.4,-22,22
383,76.6,-25,24
384,76.8,-26,26
385,77.0,-27,27
386,77.2,-28,28
387,77.4,-29,28
388,77.6,-29,28
389,77.8,-28,27
390,78.0,-27,26
391,78.2,-26,25
392,78.4,-24,23
393,78.6,-22,21
394,78.8,-19,18
395,79.0,-17,15
396,79.2,-14,12
397,79.4,-10, 9
398,79.6,-7, 5
399,79.8,-3, 1
400,80.0, 0,-2
401,80.2, 4,-6
402,80.4, 7,-9
403,80.6,11,-12
404,80.8,14,-15
405,81.0,17,-19
406,81.2,20,-21
407,81.4,22,-24
408,81.6,24,-26
409,81.8,26,-28
410,82.0,27,-29
411,82.2,28,-29
412,82.4,29,-30
413,82.6,28,-29
414,82.8,28,-29
415,83.0,27,-28
416,83.2,25,-26
417,83.4,23,-24
418,83.6,21,-22
419,83.8,19,-20
420,84.0,16,-17
421,84.2,13,-13
422,84.4,10,-10
423,84.6, 6,-7
424,84.8, 2,-3
425,85.0, 0, 0
426,85.2,-4, 4
427,85.4,-8, 8
428,85.6,-11,11
429,85.8,-15,15
430,86.0,-18,17
431,86.2,-20,20
432,86.4,-22,22
433,86.6,-25,24
434,86.8,-26,25
435,87.0,-28,27
436,87.2,-28,27
437,87.4,-29,28
438,87.6,-29,28
439,87.8,-28,27
440,88.0,-27,27
441,88.2,-26,25
442,88.4,-24,23
443,88.6,-22,21
444,88.8,-20,18
445,89.0,-17,15
446,89.2,-13,12
447,89.4,-10, 9
448,89.6,-7, 5
449,89.8,-3, 2
450,90.0, 0,-2
451,90.2, 4,-6
452,90.4, 7,-9
453,90.6,11,-13
454,90.8,14,-16
455,91.0,17,-18
456,91.2,20,-21
457,91.4,22,-23
458,91.6,24,-26
459,91.8,25,-27
460,92.0,27,-29
461,92.2,28,-29
462,92.4,28,-29
463,92.6,28,-29
464,92.8,27,-29
465,93.0,27,-28
466,93.2,25,-27
467,93.4,24,-24
468,93.6,22,-22
469,93.8,19,-19
470,94.0,16,-17
471,94.2,13,-13
472,94.4,10,-10
473,94.6, 6,-7
474,94.8, 2,-3
475,95.0,-1, 0
476,95.2,-4, 4
477,95.4,-8, 8
478,95.6,-12,11
479,95.8,-15,14
480,96.0,-17,17
481,96.2,-21,20
482,96.4,-23,23
483,96.6,-25,24
484,96.8,-27,26
485,97.0,-28,27
486,97.2,-28,28
487,97.4,-29,28
488,97.6,-28,27
489,97.8,-28,27
490,98.0,-27,26
491,98.2,-26,25
492,98.4,-24,23
493,98.6,-21,20
494,98.8,-19,18
495,99.0,-16,15
496,99.2,-14,12
497,99.4,-10, 9
498,99.6,-7, 5
499,99.8,-3, 1
500,100.0, 0,-2
